EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
1030100112,12,89.00 €,"1 045,00"
1040100112,12,89.00 €,"1 045,00"
1030100114,14,95.00 €,"1 099,00"
1040100114,14,95.00 €,"1 099,00"
1030100116,16,99.00 €,"1 145,00"
1040100116,16,99.00 €,"1 145,00"
1030100118,18,109.00 €,"1 299,00"
1040100118,18,109.00 €,"1 299,00"
1030100120,20,119.00 €,"1 399,00"
1040100120,20,119.00 €,"1 399,00"
1030100123,23,129.00 €,"1 499,00"
1040100123,23,129.00 €,"1 499,00"
1030100126,26,139.00 €,"1 645,00"
1040100126,26,139.00 €,"1 645,00"
1030100132,32,179.00 €,"2 099,00"
1190100132,32,179.00 €,"2 099,00"
1030130116,16,99.00 €,"1 145,00"
1040130116,16,99.00 €,"1 145,00"
1030130120,20,119.00 €,"1 375,00"
1040130120,20,119.00 €,"1 375,00"
1030100220,20,129.00 €,"1 499,00"
1040100220,20,129.00 €,"1 499,00"
1030104120,20,129.00 €,"1 499,00"
1040104120,20,129.00 €,"1 499,00"
1030104126,26,149.00 €,"1 745,00"
1040104126,26,149.00 €,"1 745,00"
1200104136,36,549.00 €,"6 299,00"
1190104136,36,549.00 €,"6 299,00"
1030105007,7,69.00 €,"799,00"
1040105007,7,69.00 €,"799,00"
1030103208,8,69.00 €,"799,00"
1040103208,8,69.00 €,"799,00"
1030100409,9,69.00 €,"799,00"
1040100409,9,69.00 €,"799,00"
1030130409,9,69.00 €,"799,00"
1040130409,9,69.00 €,"799,00"
1030100410,10,75.00 €,"875,00"
1040100410,10,75.00 €,"875,00"
1030100412,12,75.00 €,"875,00"
1040100412,12,75.00 €,"875,00"
1040100714,14,89.00 €,"1 045,00"
1030100714,14,89.00 €,"1 045,00"
1030100716,16,89.00 €,"1 045,00"
1040100716,16,89.00 €,"1 045,00"
1030100718,18,99.00 €,"1 145,00"
1040100718,18,99.00 €,"1 145,00"
1030100720,20,99.00 €,"1 145,00"
1040100720,20,99.00 €,"1 145,00"
1030100723,23,109.00 €,"1 275,00"
1040100723,23,109.00 €,"1 275,00"
1030100820,20,109.00 €,"1 275,00"
1040100820,20,109.00 €,"1 275,00"
